atom,x,y,z
O,12.19605,11.49597, 2.57447
O, 6.82375,11.52737,-12.38553
O, 7.16265,12.67237,-11.85553
O,-11.23846,-5.27423,13.02447
O,-11.24530,-4.16363,13.73447
O,11.41935, 9.71237, 8.10447
O,11.06635,10.85037, 8.60447
O,-10.56685, 6.16737,-9.31553
O,-10.35805, 4.84637,-9.48553
O,-9.82205,-11.49003,-8.65553
O,-9.65775,-11.25763,-7.35553
O,-7.62005,-9.80563, 9.59447
O,-6.29045,-9.75163, 9.43447
O,-0.81363, 0.21240, 0.42079
O,-1.51042,-0.16138, 1.48079
O, 0.79361, 6.58288,-3.23921
O, 0.86991, 7.84808,-3.00921
O,-0.48809,-0.02082,-8.35921
O, 0.42991, 0.62406,-7.55921
O, 0.85271, 5.87678, 1.14079
O,-0.39159, 5.49048, 1.38079
O, 6.51431, 3.03768,-2.96921
O, 5.52991, 3.10668,-2.15921
O, 7.00101,-4.16922,-1.25921
O, 6.76451,-4.03272, 0.01079
O,-5.36879,-4.53332,-6.39921
O,-5.99189,-4.70432,-5.29921
O,-9.14389, 0.19918,-2.56921
O,-9.68959, 0.01588,-1.37921
O, 2.63691, 0.68268,-10.29921
O, 3.19491, 1.85668,-10.13921
O,-0.74888,-1.60932, 6.27079
O,-0.38137,-2.72632, 5.77079
O, 8.45821,-1.53202, 2.13079
O, 9.31131,-1.77632, 3.08079
O, 1.70888,-7.92932,-5.12921
O, 1.54944,-8.07312,-3.86921
O, 8.03781,-1.67788,-9.08921
O, 8.45511,-0.46827,-9.07921
O,-0.74809,-7.05982, 2.02079
O,-0.27709,-5.89172, 1.70079
O,-3.36469, 8.91748,-8.30921
O,-4.41059, 8.63168,-7.63921
O, 4.71051, 7.88518,-9.09921
O, 5.85911, 7.48618,-8.61921
O,-4.95499, 5.42868, 5.37079
O,-5.71829, 5.87768, 6.34079
O, 3.76091,-9.46832, 2.46079
O, 4.59291,-8.46732, 2.67079
O, 4.21411, 7.42108, 5.51079
O, 3.17641, 8.17908, 5.75079
O,-9.79199, 1.21508,-9.80921
O,-10.27659, 0.01418,-9.87921
O,-9.20777,-6.00892,-1.29921
O,-9.89652,-6.78312,-2.15921
O,10.59951,-7.06232,-5.60921
O,10.77381,-6.91732,-4.31921
O,-9.30828,-1.52112, 5.30079
O,-10.27335,-0.80102, 5.90079
O,-6.99019, 9.56328,-0.44921
O,-5.86289,10.07198,-0.04921
O,-5.56899,-1.59532,11.80079
O,-5.79379,-2.86642,11.98079
O,-11.53929, 5.51078,-0.49921
O,-10.21449, 5.57598,-0.47921
O,-3.12929,-9.54978,-9.41921
O,-2.97859,-9.24960,-8.13921
O,11.10881, 8.41668, 2.28079
O,12.30621, 8.27668, 2.76079
O,-6.53663, 6.10908,10.91079
O,-6.93309, 7.21468,10.49079
O,-12.12949, 6.91778,-8.00921
O,-12.15999, 7.92962,-7.08921
O, 9.59891,-2.11232,11.78079
O,10.58491,-3.01532,11.44079
O, 9.97081, 4.96348, 8.78079
O, 9.55421, 5.47908, 9.87079
O, 7.78991,-11.81944, 3.11079
O, 8.90291,-11.52404, 3.71079
O, 3.77671,-7.87732,11.80079
O, 3.05061,-8.78832,12.30079
O, 9.16491,-12.65632,-7.14921
O, 9.36791,-12.81832,-8.41921
O, 5.94091,12.29768,13.18079
O, 5.80291,12.09568,14.46079
O,-4.59209,-12.56592, 5.39079
O,-3.86609,-13.64782, 5.21079
O,-7.16509,-12.34702,-5.82921
O,-7.62409,-12.08942,-4.63921
O,-1.68089,10.96128,10.37079
O,-1.90279, 9.66968,10.09079
O,12.74111,-9.25952, 5.58079
O,13.32301,-9.63052, 6.68079
O, 7.68721,-10.29532, 9.16079
O, 8.06081,-10.02032,10.36079
O,-9.53989,-9.58122,11.78079
