atom,x,y,z
O,-4.60623,-8.52822,12.90413
O,-4.05413,-9.66162,13.16413
O,-9.27780,-5.88332,-5.55587
O,-8.42245,-5.35232,-4.63587
O,-6.33623,-10.42922, 7.19413
O,-5.39833,-9.60592, 7.49413
O,-8.13433,-3.37222,13.92413
O,-7.50573,-4.18772,14.73413
O, 7.94927,-8.64362, 8.82413
O, 8.22237,-7.40122, 8.57413
O,-12.18753, 0.67228,-7.45587
O,-11.93063, 1.13618,-6.27587
O,11.62437,-13.00862, 1.68413
O,12.00437,-12.98232, 2.91413
O, 5.53627,-12.80042,-7.67587
O, 4.52487,-13.59832,-7.57587
O,-12.44363,-8.60646,10.58413
O,-13.05563,-9.64521,11.14413
O,-8.08840,12.15148,-8.93587
O,-9.06119,11.68158,-8.23587
O,-11.73563, 4.92768,-13.06587
O,-10.57533, 4.51668,-12.55587
O, 1.37071, 1.20369, 1.94788
O, 2.67631, 1.17859, 1.72788
O, 1.85361,-4.51391, 2.49788
O, 3.08361,-4.79691, 2.87788
O, 0.84661, 5.82239,-1.75212
O, 2.03511, 6.29429,-1.85212
O,-2.18989,-3.84862, 7.98788
O,-2.02019,-3.29777, 9.19788
O, 5.24391, 1.21349,-3.60212
O, 4.19331, 1.57019,-4.22212
O,-11.08839,-1.68530,-0.68212
O,-11.00469,-2.34201, 0.47788
O, 7.75291,-2.88951,-1.85212
O, 8.72521,-2.33091,-1.13212
O, 4.12961, 3.56239, 5.66788
O, 3.66861, 2.96309, 6.71788
O,-7.58739,-0.80269, 7.15788
O,-8.68139,-1.36976, 7.78788
O,-6.05589,-5.86952,-1.02212
O,-5.49309,-6.41146, 0.04788
O,-9.02451, 5.78249, 0.18788
O,-8.91174, 4.93859, 1.24788
O,-3.31439, 8.28669, 8.69788
O,-2.86539, 7.14579, 9.12788
O,10.08161, 0.82909, 3.31788
O, 9.32861, 1.75609, 2.67788
O,-9.94939, 5.06059, 6.86788
O,-10.20339, 3.86779, 7.33788
O,-0.86539, 0.69709,-8.20212
O,-0.43559, 1.25509,-7.07212
O,-5.31069,-7.88421, 7.12788
O,-5.48839,-7.33511, 8.29788
O,10.30911, 6.06169,-2.41212
O,10.22461, 6.80149,-1.31212
O, 7.64761, 0.27099,11.52788
O, 6.61161, 0.29939,12.36788
O, 0.58861,-13.41709, 3.87788
O, 1.45961,-14.27792, 4.56788
O, 3.36321, 5.53609,-9.30212
O, 4.33291, 5.34209,-10.15212
O,-4.31249,14.27329,-3.56212
O,-5.38919,14.45819,-2.81212
O, 2.04521,-3.50561,-9.07212
O, 1.00201,-3.32831,-8.31212
O,-6.60729,-7.16001,-9.28212
O,-5.45209,-7.74131,-9.19212
O, 3.18601,-12.29622,-3.64212
O, 3.64431,-12.17854,-2.39212
O,-6.86839, 5.02609,-8.25212
O,-8.08639, 4.78759,-7.83212
O, 5.59301,-12.59841, 9.71788
