atom,x,y,z
O, 6.77820, 8.20375,-3.82856
O, 6.46120, 8.23260,-6.57856
O, 1.76374, 1.98987,12.79144
O, 0.78482, 3.71987,11.00144
O,-2.50970,12.26827, 2.50144
O,-3.01992,11.85677,-0.24856
O,-7.06560, 6.63017,-7.78856
O,-4.42790, 6.36427,-7.88856
O,-4.92950,-1.44456,12.14144
O,-4.10160,-2.49317, 9.78144
O, 9.88950, 3.26187, 9.06144
O, 9.24950, 1.85787, 6.78144
O, 7.87060,10.20597,-0.91856
O, 6.47040,12.32297,-1.86856
O, 4.67730, 4.78597,12.55144
O, 4.99720, 7.09367,11.20144
O, 4.33760,-3.74433,13.03144
O, 5.09880,-3.33753,10.52144
O, 3.55110,-6.77633,-9.06856
O, 2.42490,-8.88813,-10.34856
O,-9.25300, 4.02827,11.40144
O,-6.93800, 4.28837,10.04144
O, 2.32600,-11.48413, 6.72144
O, 3.15060,-13.00713, 4.55144
O,11.99720,-4.04633, 6.04144
O,12.25420,-3.46833, 3.49144
O,-2.04980,-11.80243,-5.09856
O,-0.24480,-12.50643,-6.95856
O,-13.62800,-2.88413,-6.55856
O,-12.03420,-2.84613,-8.75856
O,10.15360,-10.40363,-2.07856
O,10.43580,-8.27633,-3.61856
O,-9.54120, 9.67797, 9.22144
O,-10.66210, 9.63857, 6.77144
O,-1.41620,-8.93713,12.66144
O,-1.07300,-8.47113,10.06144
O,-5.94020,-8.61713,-9.28856
O,-6.61100,-7.14613,-11.54856
O,-8.48580,-11.47403, 6.92144
O,-7.91100,-9.99373, 4.90144
O,-3.81810,10.63047,-9.97856
O,-3.07598, 9.71937,-12.38856
O,-10.32145,-2.43713,12.43144
O,-10.96306,-3.45213,10.19144
O,-12.73630,10.52007, 3.82144
O,-11.96320, 9.80317, 1.35144
O,-10.07200,-11.27663,-2.61856
O,-7.94410,-9.75803,-2.90856
O,10.20101,-8.13013,-7.77856
O, 9.29484,-8.93933,-10.01856
O,12.68670, 1.37037,-9.62856
O,11.48550, 2.85907,-11.50856
O,-12.04280, 9.96417,-5.78856
O,-11.64580,10.42327,-8.36856
O, 5.55610,-11.92343,13.28144
O, 7.18380,-11.99093,11.18144
O,-8.52987,-12.11763,-10.39856
O,-9.39949,-12.18803,-12.92856
O, 1.10165, 0.11725, 1.37770
O,-0.36835, 0.08725,-0.73230
O, 4.02745, 0.81225, 6.35770
O, 4.10505, 1.86725, 3.91770
O, 4.46331,-1.27075,-3.47230
O, 2.73644,-1.48375,-5.30230
O, 4.27495, 2.28335,-2.56230
O, 3.93445, 4.75095,-3.59230
O,-0.11595,-0.96525, 8.14770
O,-1.18125,-1.78985, 5.83770
O,-1.32995,-5.82875, 5.23770
O,-0.53395,-5.92905, 2.75770
O,-5.21655, 2.20025, 5.59770
O,-6.70225, 0.77935, 3.72770
O,-1.76115, 7.44905, 3.06770
O,-1.91365, 8.07265, 0.62770
O,-6.07745,-2.50105,-2.28230
O,-6.63995,-5.04335,-2.96230
O, 7.60715,-2.63675,-0.90230
O, 9.50725,-2.66135,-2.82230
O, 5.18085,-6.35465, 2.09770
O, 5.93825,-8.08025, 0.26770
O, 6.99025, 4.91845, 2.29770
O, 8.37765, 4.86385, 0.22770
O,-8.25849, 1.08705,-0.28230
O,-7.88463, 1.92775,-2.80230
O, 7.05555,-4.45975, 7.89770
O, 7.73725,-3.39475, 5.65770
O,-3.11681,-8.41555,-1.45230
O,-2.21305,-9.38645,-3.78230
O, 1.35165, 2.23045,-8.37230
O, 0.46955, 2.35275,-10.66230
O,-2.97995,-5.08295,-6.55230
O,-2.56295,-4.99235,-9.21230
O,-5.34405, 3.15725,-7.08230
